id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,Company_location,company_location_3Char,comp_size,Experience,Emply_Type,Country_Company,Country_Emply,Company_size,Category,Remote_Work,Machine_learning
30,2020,MI,FT,Data Engineering Manager,51999,EUR,59303,DE,100,DE,DEU,S,Mid-level Intermediate ,Full-time ,Germany,Germany,Small_Less_than_50_Emp,Engineer,80-100%,Not ML
31,2020,EN,FT,Big Data Engineer,70000,USD,70000,US,100,US,USA,L,Entry-level Junior ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Engineer,80-100%,Not ML
32,2020,SE,FT,Data Scientist,60000,EUR,68428,GR,100,US,USA,L,Senior-level Expert ,Full-time ,United States of America,Greece,Large_Greater_than_250_Emp,Scientist,80-100%,Not ML
33,2020,MI,FT,Research Scientist,450000,USD,450000,US,0,US,USA,M,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Medium_Between_50_and_250_Emp,Scientist,0-20%,Not ML
34,2020,MI,FT,Data Analyst,41000,EUR,46759,FR,50,FR,FRA,L,Mid-level Intermediate ,Full-time ,France,France,Large_Greater_than_250_Emp,Analysis,20-80%,Not ML
35,2020,MI,FT,Data Engineer,65000,EUR,74130,AT,50,AT,AUT,L,Mid-level Intermediate ,Full-time ,Austria,Austria,Large_Greater_than_250_Emp,Engineer,20-80%,Not ML
36,2020,MI,FT,Data Science Consultant,103000,USD,103000,US,100,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Scientist,80-100%,Not ML
37,2020,EN,FT,Machine Learning Engineer,250000,USD,250000,US,50,US,USA,L,Entry-level Junior ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Engineer,20-80%,ML Professional
38,2020,EN,FT,Data Analyst,10000,USD,10000,NG,100,NG,NGA,S,Entry-level Junior ,Full-time ,Nigeria,Nigeria,Small_Less_than_50_Emp,Analysis,80-100%,Not ML
39,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,US,100,US,USA,S,Entry-level Junior ,Full-time ,United States of America,United States of America,Small_Less_than_50_Emp,Engineer,80-100%,ML Professional
40,2020,MI,FT,Data Scientist,45760,USD,45760,PH,100,US,USA,S,Mid-level Intermediate ,Full-time ,United States of America,Philippines,Small_Less_than_50_Emp,Scientist,80-100%,Not ML
41,2020,EX,FT,Data Engineering Manager,70000,EUR,79833,ES,50,ES,ESP,L,Executive-level Director,Full-time ,Spain,Spain,Large_Greater_than_250_Emp,Engineer,20-80%,Not ML
42,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,PT,0,PT,0,M,Mid-level Intermediate ,Full-time ,Part-time ,Part-time ,Medium_Between_50_and_250_Emp,Engineer,0-20%,ML Professional
43,2020,MI,FT,Data Engineer,106000,USD,106000,US,100,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Engineer,80-100%,Not ML
44,2020,MI,FT,Data Engineer,88000,GBP,112872,GB,50,GB,GBR,L,Mid-level Intermediate ,Full-time ,United Kingdom,United Kingdom,Large_Greater_than_250_Emp,Engineer,20-80%,Not ML
45,2020,EN,PT,ML Engineer,14000,EUR,15966,DE,100,DE,DEU,S,Entry-level Junior ,Part-time ,Germany,Germany,Small_Less_than_50_Emp,Engineer,80-100%,Not ML
46,2020,MI,FT,Data Scientist,60000,GBP,76958,GB,100,GB,GBR,S,Mid-level Intermediate ,Full-time ,United Kingdom,United Kingdom,Small_Less_than_50_Emp,Scientist,80-100%,Not ML
47,2020,SE,FT,Data Engineer,188000,USD,188000,US,100,US,USA,L,Senior-level Expert ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Engineer,80-100%,Not ML
48,2020,MI,FT,Data Scientist,105000,USD,105000,US,100,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Scientist,80-100%,Not ML
49,2020,MI,FT,Data Engineer,61500,EUR,70139,FR,50,FR,FRA,L,Mid-level Intermediate ,Full-time ,France,France,Large_Greater_than_250_Emp,Engineer,20-80%,Not ML
50,2020,EN,FT,Data Analyst,450000,INR,6072,IN,0,IN,IND,S,Entry-level Junior ,Full-time ,India,India,Small_Less_than_50_Emp,Analysis,0-20%,Not ML
51,2020,EN,FT,Data Analyst,91000,USD,91000,US,100,US,USA,L,Entry-level Junior ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Analysis,80-100%,Not ML
52,2020,EN,FT,AI Scientist,300000,DKK,45896,DK,50,DK,DNK,S,Entry-level Junior ,Full-time ,Denmark,Denmark,Small_Less_than_50_Emp,Scientist,20-80%,Not ML
53,2020,EN,FT,Data Engineer,48000,EUR,54742,PK,100,DE,DEU,L,Entry-level Junior ,Full-time ,Germany,Pakistan,Large_Greater_than_250_Emp,Engineer,80-100%,Not ML
54,2020,SE,FL,Computer Vision Engineer,60000,USD,60000,RU,100,US,USA,S,Senior-level Expert ,Freelance,United States of America,Russian Federation,Small_Less_than_50_Emp,Engineer,80-100%,Not ML
55,2020,SE,FT,Principal Data Scientist,130000,EUR,148261,DE,100,DE,DEU,M,Senior-level Expert ,Full-time ,Germany,Germany,Medium_Between_50_and_250_Emp,Scientist,80-100%,Not ML
56,2020,MI,FT,Data Scientist,34000,EUR,38776,ES,100,ES,ESP,M,Mid-level Intermediate ,Full-time ,Spain,Spain,Medium_Between_50_and_250_Emp,Scientist,80-100%,Not ML
57,2020,MI,FT,Data Scientist,118000,USD,118000,US,100,US,USA,M,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Medium_Between_50_and_250_Emp,Scientist,80-100%,Not ML
58,2020,SE,FT,Data Scientist,120000,USD,120000,US,50,US,USA,L,Senior-level Expert ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Scientist,20-80%,Not ML
59,2020,MI,FT,Data Scientist,138350,USD,138350,US,100,US,USA,M,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Medium_Between_50_and_250_Emp,Scientist,80-100%,Not ML
60,2020,MI,FT,Data Engineer,110000,USD,110000,US,100,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Engineer,80-100%,Not ML
61,2020,MI,FT,Data Engineer,130800,USD,130800,ES,100,US,USA,M,Mid-level Intermediate ,Full-time ,United States of America,Spain,Medium_Between_50_and_250_Emp,Engineer,80-100%,Not ML
62,2020,EN,PT,Data Scientist,19000,EUR,21669,IT,50,IT,ITA,S,Entry-level Junior ,Part-time ,Italy,Italy,Small_Less_than_50_Emp,Scientist,20-80%,Not ML
63,2020,SE,FT,Data Scientist,412000,USD,412000,US,100,US,USA,L,Senior-level Expert ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Scientist,80-100%,Not ML
64,2020,SE,FT,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,HRV,S,Senior-level Expert ,Full-time ,Croatia,Croatia,Small_Less_than_50_Emp,Engineer,80-100%,ML Professional
65,2020,EN,FT,Data Scientist,55000,EUR,62726,DE,50,DE,DEU,S,Entry-level Junior ,Full-time ,Germany,Germany,Small_Less_than_50_Emp,Scientist,20-80%,Not ML
66,2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,DEU,S,Entry-level Junior ,Full-time ,Germany,Germany,Small_Less_than_50_Emp,Scientist,0-20%,Not ML
67,2020,SE,FT,Data Science Manager,190200,USD,190200,US,100,US,USA,M,Senior-level Expert ,Full-time ,United States of America,United States of America,Medium_Between_50_and_250_Emp,Scientist,80-100%,Not ML
68,2020,EN,FT,Data Scientist,105000,USD,105000,US,100,US,USA,S,Entry-level Junior ,Full-time ,United States of America,United States of America,Small_Less_than_50_Emp,Scientist,80-100%,Not ML
69,2020,SE,FT,Data Scientist,80000,EUR,91237,AT,0,AT,AUT,S,Senior-level Expert ,Full-time ,Austria,Austria,Small_Less_than_50_Emp,Scientist,0-20%,Not ML
70,2020,MI,FT,Data Scientist,55000,EUR,62726,FR,50,LU,LUX,S,Mid-level Intermediate ,Full-time ,Luxembourg,France,Small_Less_than_50_Emp,Scientist,20-80%,Not ML
71,2020,MI,FT,Data Scientist,37000,EUR,42197,FR,50,FR,FRA,S,Mid-level Intermediate ,Full-time ,France,France,Small_Less_than_50_Emp,Scientist,20-80%,Not ML
72,2021,EN,FT,Research Scientist,60000,GBP,82528,GB,50,GB,GBR,L,Entry-level Junior ,Full-time ,United Kingdom,United Kingdom,Large_Greater_than_250_Emp,Scientist,20-80%,Not ML
73,2021,EX,FT,BI Data Analyst,150000,USD,150000,IN,100,US,USA,L,Executive-level Director,Full-time ,United States of America,India,Large_Greater_than_250_Emp,Analysis,80-100%,Not ML
74,2021,EX,FT,Head of Data,235000,USD,235000,US,100,US,USA,L,Executive-level Director,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Other,80-100%,Not ML
75,2021,SE,FT,Data Scientist,45000,EUR,53192,FR,50,FR,FRA,L,Senior-level Expert ,Full-time ,France,France,Large_Greater_than_250_Emp,Scientist,20-80%,Not ML
76,2021,MI,FT,BI Data Analyst,100000,USD,100000,US,100,US,USA,M,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Medium_Between_50_and_250_Emp,Analysis,80-100%,Not ML
77,2021,MI,PT,3D Computer Vision Researcher,400000,INR,5409,IN,50,IN,IND,M,Mid-level Intermediate ,Part-time ,India,India,Medium_Between_50_and_250_Emp,Other,20-80%,Not ML
78,2021,MI,CT,ML Engineer,270000,USD,270000,US,100,US,USA,L,Mid-level Intermediate ,Contract ,United States of America,United States of America,Large_Greater_than_250_Emp,Engineer,80-100%,Not ML
79,2021,EN,FT,Data Analyst,80000,USD,80000,US,100,US,USA,M,Entry-level Junior ,Full-time ,United States of America,United States of America,Medium_Between_50_and_250_Emp,Analysis,80-100%,Not ML
80,2021,SE,FT,Data Analytics Engineer,67000,EUR,79197,DE,100,DE,DEU,L,Senior-level Expert ,Full-time ,Germany,Germany,Large_Greater_than_250_Emp,Engineer,80-100%,Not ML
81,2021,MI,FT,Data Engineer,140000,USD,140000,US,100,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Engineer,80-100%,Not ML
82,2021,MI,FT,Applied Data Scientist,68000,CAD,54238,GB,50,CA,CAN,L,Mid-level Intermediate ,Full-time ,Canada,United Kingdom,Large_Greater_than_250_Emp,Scientist,20-80%,Not ML
83,2021,MI,FT,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,ESP,S,Mid-level Intermediate ,Full-time ,Spain,Spain,Small_Less_than_50_Emp,Engineer,80-100%,ML Professional
84,2021,EX,FT,Director of Data Science,130000,EUR,153667,IT,100,PL,POL,L,Executive-level Director,Full-time ,Poland,Italy,Large_Greater_than_250_Emp,Scientist,80-100%,Not ML
85,2021,MI,FT,Data Engineer,110000,PLN,28476,PL,100,PL,POL,L,Mid-level Intermediate ,Full-time ,Poland,Poland,Large_Greater_than_250_Emp,Engineer,80-100%,Not ML
86,2021,EN,FT,Data Analyst,50000,EUR,59102,FR,50,FR,FRA,M,Entry-level Junior ,Full-time ,France,France,Medium_Between_50_and_250_Emp,Analysis,20-80%,Not ML
87,2021,MI,FT,Data Analytics Engineer,110000,USD,110000,US,100,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Engineer,80-100%,Not ML
88,2021,SE,FT,Lead Data Analyst,170000,USD,170000,US,100,US,USA,L,Senior-level Expert ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Analysis,80-100%,Not ML
89,2021,SE,FT,Data Analyst,80000,USD,80000,BG,100,US,USA,S,Senior-level Expert ,Full-time ,United States of America,Bulgaria,Small_Less_than_50_Emp,Analysis,80-100%,Not ML
90,2021,SE,FT,Marketing Data Analyst,75000,EUR,88654,GR,100,DK,DNK,L,Senior-level Expert ,Full-time ,Denmark,Greece,Large_Greater_than_250_Emp,Analysis,80-100%,Not ML
91,2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,100,DE,DEU,S,Entry-level Junior ,Full-time ,Germany,Germany,Small_Less_than_50_Emp,Scientist,80-100%,Not ML
92,2021,MI,FT,Lead Data Analyst,1450000,INR,19609,IN,100,IN,IND,L,Mid-level Intermediate ,Full-time ,India,India,Large_Greater_than_250_Emp,Analysis,80-100%,Not ML
93,2021,SE,FT,Lead Data Engineer,276000,USD,276000,US,0,US,USA,L,Senior-level Expert ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Engineer,0-20%,Not ML
94,2021,EN,FT,Data Scientist,2200000,INR,29751,IN,50,IN,IND,L,Entry-level Junior ,Full-time ,India,India,Large_Greater_than_250_Emp,Scientist,20-80%,Not ML
95,2021,MI,FT,Cloud Data Engineer,120000,SGD,89294,SG,50,SG,SGP,L,Mid-level Intermediate ,Full-time ,Singapore,Singapore,Large_Greater_than_250_Emp,Engineer,20-80%,Not ML
96,2021,EN,PT,AI Scientist,12000,USD,12000,BR,100,US,USA,S,Entry-level Junior ,Part-time ,United States of America,Brazil,Small_Less_than_50_Emp,Scientist,80-100%,Not ML
97,2021,MI,FT,Financial Data Analyst,450000,USD,450000,US,100,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Analysis,80-100%,Not ML
98,2021,EN,FT,Computer Vision Software Engineer,70000,USD,70000,US,100,US,USA,M,Entry-level Junior ,Full-time ,United States of America,United States of America,Medium_Between_50_and_250_Emp,Engineer,80-100%,Not ML
99,2021,MI,FT,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,USA,S,Mid-level Intermediate ,Full-time ,United States of America,Germany,Small_Less_than_50_Emp,Engineer,80-100%,Not ML
100,2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Analysis,0-20%,Not ML
101,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,USA,L,Senior-level Expert ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Engineer,80-100%,Not ML
102,2021,MI,FT,BI Data Analyst,11000000,HUF,36259,HU,50,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,Hungary,Large_Greater_than_250_Emp,Analysis,20-80%,Not ML
103,2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Analysis,0-20%,Not ML
104,2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Scientist,0-20%,Not ML
105,2021,MI,FT,Data Analyst,37456,GBP,51519,GB,50,GB,GBR,L,Mid-level Intermediate ,Full-time ,United Kingdom,United Kingdom,Large_Greater_than_250_Emp,Analysis,20-80%,Not ML
106,2021,MI,FT,Research Scientist,235000,CAD,187442,CA,100,CA,CAN,L,Mid-level Intermediate ,Full-time ,Canada,Canada,Large_Greater_than_250_Emp,Scientist,80-100%,Not ML
107,2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,USA,S,Senior-level Expert ,Full-time ,United States of America,United States of America,Small_Less_than_50_Emp,Engineer,80-100%,Not ML
108,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,USA,M,Senior-level Expert ,Full-time ,United States of America,United States of America,Medium_Between_50_and_250_Emp,Engineer,80-100%,Not ML
109,2021,EN,FT,Data Engineer,2250000,INR,30428,IN,100,IN,IND,L,Entry-level Junior ,Full-time ,India,India,Large_Greater_than_250_Emp,Engineer,80-100%,Not ML
110,2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,DEU,L,Senior-level Expert ,Full-time ,Germany,Germany,Large_Greater_than_250_Emp,Engineer,20-80%,ML Professional
111,2021,SE,FT,Director of Data Engineering,82500,GBP,113476,GB,100,GB,GBR,M,Senior-level Expert ,Full-time ,United Kingdom,United Kingdom,Medium_Between_50_and_250_Emp,Engineer,80-100%,Not ML
112,2021,SE,FT,Lead Data Engineer,75000,GBP,103160,GB,100,GB,GBR,S,Senior-level Expert ,Full-time ,United Kingdom,United Kingdom,Small_Less_than_50_Emp,Engineer,80-100%,Not ML
113,2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,USA,M,Entry-level Junior ,Part-time ,United States of America,Pakistan,Medium_Between_50_and_250_Emp,Scientist,80-100%,Not ML
114,2021,MI,FT,Data Engineer,38400,EUR,45391,NL,100,NL,NLD,L,Mid-level Intermediate ,Full-time ,Netherlands,Netherlands,Large_Greater_than_250_Emp,Engineer,80-100%,Not ML
115,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,USA,L,Entry-level Junior ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Scientist,80-100%,ML Professional
116,2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,NGA,L,Mid-level Intermediate ,Full-time ,Nigeria,Nigeria,Large_Greater_than_250_Emp,Scientist,80-100%,Not ML
117,2021,MI,FT,Data Science Engineer,34000,EUR,40189,GR,100,GR,GRC,M,Mid-level Intermediate ,Full-time ,Greece,Greece,Medium_Between_50_and_250_Emp,Engineer,80-100%,Not ML
118,2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,USA,S,Entry-level Junior ,Full-time ,United States of America,United States of America,Small_Less_than_50_Emp,Analysis,80-100%,Not ML
119,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Engineer,80-100%,Not ML
120,2021,MI,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,ROU,M,Mid-level Intermediate ,Full-time ,Romania,Spain,Medium_Between_50_and_250_Emp,Engineer,20-80%,Not ML
121,2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,100,US,USA,M,Senior-level Expert ,Full-time ,United States of America,United States of America,Medium_Between_50_and_250_Emp,Engineer,80-100%,Not ML
122,2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,USA,M,Entry-level Junior ,Full-time ,United States of America,United States of America,Medium_Between_50_and_250_Emp,Analysis,80-100%,Not ML
123,2021,EN,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,GBR,L,Entry-level Junior ,Full-time ,United Kingdom,United Kingdom,Large_Greater_than_250_Emp,Scientist,0-20%,Not ML
124,2021,EN,PT,Data Analyst,8760,EUR,10354,ES,50,ES,ESP,M,Entry-level Junior ,Part-time ,Spain,Spain,Medium_Between_50_and_250_Emp,Analysis,20-80%,Not ML
125,2021,MI,FT,Principal Data Scientist,151000,USD,151000,US,100,US,USA,L,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Scientist,80-100%,Not ML
126,2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,USA,S,Senior-level Expert ,Full-time ,United States of America,United States of America,Small_Less_than_50_Emp,Scientist,20-80%,ML Professional
127,2021,MI,FT,Data Scientist,700000,INR,9466,IN,0,IN,IND,S,Mid-level Intermediate ,Full-time ,India,India,Small_Less_than_50_Emp,Scientist,0-20%,Not ML
128,2021,EN,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,IND,S,Entry-level Junior ,Full-time ,India,India,Small_Less_than_50_Emp,Engineer,80-100%,ML Professional
129,2021,SE,FT,Lead Data Scientist,3000000,INR,40570,IN,50,IN,IND,L,Senior-level Expert ,Full-time ,India,India,Large_Greater_than_250_Emp,Scientist,20-80%,Not ML
130,2021,EN,FT,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,IRQ,S,Entry-level Junior ,Full-time ,Iraq,Iraq,Small_Less_than_50_Emp,Other,20-80%,ML Professional
131,2021,EN,FT,Data Scientist,42000,EUR,49646,FR,50,FR,FRA,M,Entry-level Junior ,Full-time ,France,France,Medium_Between_50_and_250_Emp,Scientist,20-80%,Not ML
132,2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,USA,M,Mid-level Intermediate ,Full-time ,United States of America,Viet Nam,Medium_Between_50_and_250_Emp,Scientist,80-100%,ML Professional
133,2021,SE,FT,Computer Vision Engineer,24000,USD,24000,BR,100,BR,BRA,M,Senior-level Expert ,Full-time ,Brazil,Brazil,Medium_Between_50_and_250_Emp,Engineer,80-100%,Not ML
134,2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,USA,S,Entry-level Junior ,Full-time ,United States of America,United States of America,Small_Less_than_50_Emp,Scientist,0-20%,Not ML
135,2021,MI,FT,Data Analyst,90000,USD,90000,US,100,US,USA,M,Mid-level Intermediate ,Full-time ,United States of America,United States of America,Medium_Between_50_and_250_Emp,Analysis,80-100%,Not ML
136,2021,MI,FT,ML Engineer,7000000,JPY,63711,JP,50,JP,JPN,S,Mid-level Intermediate ,Full-time ,Japan,Japan,Small_Less_than_50_Emp,Engineer,20-80%,Not ML
137,2021,MI,FT,ML Engineer,8500000,JPY,77364,JP,50,JP,JPN,S,Mid-level Intermediate ,Full-time ,Japan,Japan,Small_Less_than_50_Emp,Engineer,20-80%,Not ML
138,2021,SE,FT,Principal Data Scientist,220000,USD,220000,US,0,US,USA,L,Senior-level Expert ,Full-time ,United States of America,United States of America,Large_Greater_than_250_Emp,Scientist,0-20%,Not ML
139,2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,USA,M,Entry-level Junior ,Full-time ,United States of America,United States of America,Medium_Between_50_and_250_Emp,Scientist,80-100%,Not ML
